period_key,periodicidad,metric,unidad,ambito,descriptor,escenario,valor,revision,year_span,sheet_name,source_file
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11312.170777010651,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11230.817913688223,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11044.10963377945,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11150.719467057092,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11254.777036822426,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11307.36172310151,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11323.528255023668,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11196.285371367498,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2025-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11251.70336619923,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11302.855279679843,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11173.17959996231,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11357.582928752221,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11392.05616575429,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11446.952204771318,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11375.546524785826,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11423.363612968433,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11479.858160039814,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11488.37537873839,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11541.436564811936,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11478.66326634477,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2026-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11517.664798059983,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11538.603519679047,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11411.073637078853,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11540.140189901394,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11559.475796561703,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11624.681980439193,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11604.261275805424,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11653.525043414897,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11721.350595553387,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11711.449494816014,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11764.760535021569,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11736.488219975912,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2027-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11786.136316746692,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11778.71384069508,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11674.750991984882,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11774.667811157467,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11752.162847020882,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11842.916094993021,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11828.713536485997,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11871.170248294393,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11950.925892235555,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11937.012276792562,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11997.413831716165,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11980.697699223056,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2028-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12018.401989908014,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12034.848651232687,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11899.82566770949,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12000.517050697244,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,11984.3066105235,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12063.474908844797,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12043.208550671807,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12093.986883179332,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12176.685700744956,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12155.802831076235,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12222.526581854332,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12203.533674585025,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2029-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12244.321541147207,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12264.935546458726,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12123.827329067128,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12231.344230593184,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12207.116593644554,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12296.11675822529,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12263.97662297843,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12329.41630966316,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12398.249665231991,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12375.2171356734,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12447.899270965336,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12427.464989683695,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2030-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12473.09240125277,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12497.536642877127,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12357.501869181833,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12465.745156816125,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12447.88239535973,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12531.004967223136,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12497.97528036739,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12571.80971670867,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12624.27475897652,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12610.243320885376,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12686.38199118419,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12658.920270871078,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2031-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12711.965547773756,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12722.169783363028,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12613.682618804774,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12693.805173140045,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12689.667324482707,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12751.186169484175,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12740.27970408639,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12795.95801806392,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12865.165789803714,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12851.196376768463,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12911.90502497471,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12897.406140090448,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2032-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12955.928437845396,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12963.775434332654,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12828.251561688292,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12941.820718081455,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12916.89550483756,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12994.645041022352,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,12979.526692954545,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13022.294503454506,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13107.201020985072,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13092.345876865975,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13149.571336108242,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13139.00549050253,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2033-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13196.845438738703,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13211.249099474102,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13068.729551382825,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13187.4104289786,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13156.295579317772,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13244.63448720007,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13232.433874026254,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13274.412301809267,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13357.736478038074,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13345.632645948586,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13408.98063795913,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13399.560867500937,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2034-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13442.150455939436,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2035-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13471.24494409206,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2035-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13332.291387007894,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2035-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13432.876840600931,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2035-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13415.983702212245,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2035-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13485.783113222844,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2035-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13478.105980543218,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2035-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13529.002678696794,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2035-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13612.125185772979,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2035-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13593.559435025543,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
2035-01-01,anual,energia,GWh-año,nacional,SIN,ESC_MEDIO,13666.94524922204,REV_JULIO,2025-2039,DPMÁX_Mensual(MW_mes),Anexo_proyeccion_demanda_2025_2039_verJul2025.xlsx
